PLAYER,VALUE
Joe Johnson,16.41
Antoine Walker,16.47
Jason Richardson,16.48
Nene,16.75
Andrew Bogut,16.85
Carl Landry,16.9
Troy Murphy,16.93
Danny Fortson,17.0
Chauncey Billups,17.02
Danny Granger,17.1
Rasheed Wallace,17.19
Rashard Lewis,17.24
Manu Ginobili,17.28
Josh Howard,17.33
Al Jefferson,17.43
Zydrunas Ilgauskas,17.75
John Stockton,17.77
Andris Biedrins,17.8
Derrick Rose,17.85
Emeka Okafor,17.9
Andre Miller,17.91
Luol Deng,17.93
David West,18.0
Gary Payton,18.07
Michael Redd,18.12
Brad Miller,18.14
Josh Smith,18.16
Shareef Abdur-Rahim,18.17
Jerry Stackhouse,18.23
Andre Iguodala,18.33
Peja Stojakovic,18.47
Monta Ellis,18.47
David Robinson,18.5
Zach Randolph,18.54
Anthony Mason,18.55
Corey Maggette,18.6
Ben Wallace,18.64
Deron Williams,18.65
Michael Jordan,18.7
Al Horford,18.85
Stephen Curry,19.0
Glenn Robinson,19.0
Gerald Wallace,19.05
LaMarcus Aldridge,19.1
Ray Allen,19.14
Steve Francis,19.26
Baron Davis,19.34
Stephon Marbury,19.38
Terrell Brandon,19.5
Brook Lopez,19.5
Tyreke Evans,19.6
Sam Cassell,19.62
Antawn Jamison,19.71
Lamar Odom,19.8
Jamal Mashburn,19.8
Jermaine O'Neal,20.16
Vince Carter,20.39
Brandon Roy,20.6
Carmelo Anthony,20.66
Yao Ming,20.72
Steve Nash,20.97
Marcus Camby,21.18
Jason Kidd,21.31
Paul Pierce,21.38
Pau Gasol,22.06
Gilbert Arenas,22.08
Kevin Durant,22.1
David Lee,22.3
Carlos Boozer,22.62
Chris Bosh,22.81
Allen Iverson,22.94
Shawn Marion,23.25
Elton Brand,23.25
Karl Malone,23.5
Amar'e Stoudemire,23.52
Dwight Howard,23.68
Tracy McGrady,23.81
Chris Webber,24.93
Kobe Bryant,25.3
Tim Duncan,26.09
Dirk Nowitzki,26.09
Dwyane Wade,26.12
Shaquille O'Neal,26.55
Chris Paul,26.57
LeBron James,27.9
Kevin Garnett,29.74
